,ios_current_ratings,ios_all_ratings,android_avg_rating,android_total_ratings,android_ratings_5,android_ratings_4,android_ratings_3,android_ratings_2,android_ratings_1
2016-07-21 17:10:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 17:20:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 17:30:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 17:40:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 17:50:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 18:00:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 18:10:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 18:20:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 18:30:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 18:40:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 18:50:00,6842.0,108570.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 19:00:00,6842.0,108886.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 19:10:00,6842.0,108886.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 19:20:00,7231.0,108886.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 19:30:00,7231.0,108886.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 19:40:00,7231.0,108886.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 19:50:00,7231.0,108886.0,3.9,1334278.0,757714.0,757714.0,757714.0,757714.0,757714.0
2016-07-21 20:00:00,7231.0,108886.0,3.9,1344609.0,764122.0,764122.0,764122.0,764122.0,764122.0
